Student_ID,Age,Gender,Study_Hours_Per_Day,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Usage_Hours,Sleep_Hours,Extra_Curricular,Family_Income,Teacher_Rating,Performance_Level
63,23,Female,1.3,55.7,5,35.0,10.2,6.6,No,Medium,4.8,Low
64,20,Male,9.7,54.7,12,72.8,7.1,7.0,No,Medium,4.9,Excellent
65,17,Male,3.0,72.8,19,42.1,9.3,6.3,No,Medium,4.7,Medium
66,20,Male,7.1,68.6,7,66.1,9.0,4.9,No,Medium,3.0,High
67,23,Male,1.4,52.7,11,73.8,2.5,7.2,Yes,Low,1.3,Medium
68,24,Female,9.2,58.3,13,61.3,9.0,6.4,Yes,High,3.8,High
69,24,Male,6.1,72.0,15,87.9,10.1,8.9,Yes,Medium,4.5,High
70,16,Male,6.7,91.5,13,56.2,1.4,6.9,Yes,High,4.1,Excellent
71,24,Male,7.9,56.1,15,40.9,2.8,9.7,No,Medium,3.6,High
72,22,Female,6.3,55.2,5,62.5,6.7,8.4,Yes,Medium,3.3,Medium
73,24,Female,1.2,90.2,3,97.4,1.6,5.4,No,Medium,4.8,High
74,23,Female,4.6,74.6,19,91.6,5.0,6.4,Yes,High,4.9,Excellent
75,16,Male,3.0,68.0,18,51.8,10.2,7.7,Yes,Medium,3.6,Medium
76,23,Female,5.1,73.1,7,47.0,2.1,4.8,No,Low,2.1,Medium
77,23,Male,4.3,70.5,3,63.8,2.5,7.1,Yes,Medium,2.7,Medium
78,18,Male,8.4,89.1,2,75.9,2.3,9.2,No,Medium,1.8,High
79,16,Male,2.8,50.5,12,94.9,7.0,5.0,Yes,High,1.8,Medium
80,23,Male,2.4,71.7,3,72.9,4.3,4.5,Yes,Low,1.8,Medium
81,18,Female,9.6,57.9,10,88.5,10.0,7.0,No,Low,1.0,High
82,18,Female,9.5,65.4,15,78.7,7.4,9.3,Yes,Low,1.0,Excellent
83,16,Female,9.9,55.6,14,37.1,8.4,8.2,Yes,Low,4.2,High
84,20,Female,5.9,71.3,1,92.4,4.4,7.4,Yes,Low,2.8,High
85,22,Male,1.6,82.2,14,44.0,6.4,5.0,No,Low,1.1,Medium
86,24,Male,8.9,83.1,5,55.7,5.1,8.5,Yes,Low,4.3,High
87,22,Male,1.9,89.8,14,88.8,6.5,8.0,Yes,Low,2.8,High
88,24,Male,2.0,90.8,12,98.5,8.6,9.7,Yes,Medium,2.5,High
89,23,Male,2.3,79.9,2,51.7,6.0,4.7,No,Low,1.1,Low
90,17,Female,6.7,67.7,18,56.8,1.7,6.0,Yes,High,2.4,High
91,16,Female,1.5,52.6,11,64.0,5.1,6.9,Yes,Low,1.1,Medium
92,22,Male,7.9,51.8,11,64.9,10.8,7.8,Yes,Medium,1.6,High
93,22,Male,1.1,55.7,16,82.5,10.1,6.8,No,Low,3.0,Medium
94,23,Female,1.5,99.2,7,87.2,10.2,6.3,No,Low,2.7,Medium
95,20,Female,4.6,89.3,12,99.4,3.0,6.2,Yes,Medium,1.3,High
96,18,Male,4.1,70.2,11,86.3,1.9,4.6,No,Medium,1.2,High
97,23,Female,9.9,73.3,15,51.0,9.9,6.5,Yes,High,3.6,Excellent
98,21,Female,9.7,86.9,20,55.1,8.3,5.5,Yes,Low,1.7,Excellent
99,18,Male,2.3,75.7,10,73.3,6.6,5.7,Yes,High,4.7,High
100,16,Male,9.5,68.0,19,78.1,8.6,4.0,No,Low,3.3,Excellent
101,18,Female,7.1,67.5,8,36.3,11.2,4.2,Yes,Medium,1.6,Medium
102,20,Female,4.4,60.5,18,54.1,2.4,5.7,Yes,Medium,4.0,High
103,18,Male,7.5,94.3,19,44.2,2.9,5.1,No,Low,4.1,Excellent
104,16,Female,9.1,70.7,7,65.5,7.5,7.3,No,High,3.5,High
105,20,Female,2.2,87.6,12,41.8,8.8,7.1,No,Medium,3.9,Medium
106,22,Female,2.4,78.7,1,70.7,8.1,9.1,No,Medium,4.8,Medium
107,22,Male,4.4,87.7,18,62.7,3.8,4.4,Yes,Low,1.8,High
108,24,Female,2.1,66.0,12,58.3,7.8,8.1,No,Medium,4.2,Medium
109,18,Female,3.9,87.6,18,75.4,7.2,9.5,Yes,Low,2.7,High
110,22,Male,6.6,89.5,10,59.1,1.3,7.7,No,Medium,2.8,High
111,16,Male,8.2,55.2,1,57.9,7.8,9.1,No,Medium,3.5,High
112,19,Female,3.4,54.6,7,75.6,6.0,7.4,Yes,Medium,2.7,Medium
113,19,Male,3.2,99.3,6,34.0,10.4,8.7,Yes,Medium,1.2,Medium
114,20,Male,7.9,55.9,0,60.3,8.2,4.4,Yes,Medium,1.4,Medium
115,22,Female,4.1,84.2,13,43.7,7.0,5.0,No,Low,4.0,High
116,22,Male,8.3,87.4,7,32.7,10.9,4.5,Yes,Low,1.8,High
117,19,Female,9.9,53.2,0,32.4,8.3,9.5,No,Low,2.4,Medium
118,22,Female,9.8,87.3,16,41.7,3.8,7.4,No,Low,1.5,Excellent
119,18,Male,6.8,71.0,20,60.4,6.1,6.1,Yes,Low,2.9,High
120,21,Female,4.1,63.7,3,69.7,8.4,7.2,No,High,1.6,Medium
121,17,Female,1.1,83.3,5,85.7,10.0,4.1,No,Low,4.8,Medium
122,24,Female,7.5,91.7,0,72.5,4.1,8.2,No,Low,4.9,High
123,20,Female,9.8,78.6,2,66.4,9.0,5.6,Yes,Medium,1.6,High
124,21,Female,1.1,93.5,20,32.5,8.5,5.5,Yes,High,3.5,Medium
125,19,Male,0.6,51.1,1,50.9,2.6,5.5,Yes,High,4.5,Low
126,22,Male,8.4,86.9,16,78.5,2.7,5.9,No,Medium,2.9,Excellent
127,24,Female,1.5,58.5,8,48.9,6.5,8.0,No,Medium,1.1,Low
128,22,Female,1.3,64.3,7,71.6,5.5,7.7,No,Medium,1.2,Medium
129,16,Male,9.1,78.6,18,72.3,2.5,7.6,No,High,3.6,Excellent
130,16,Female,1.3,63.7,14,51.4,2.0,5.8,No,Low,3.6,Medium
131,24,Female,1.6,58.4,5,70.0,10.9,8.5,Yes,Low,3.6,Medium
132,24,Female,5.9,94.3,5,38.0,3.1,9.9,No,Low,3.1,High
133,19,Male,7.7,95.3,7,80.9,5.0,7.8,No,Low,4.8,Excellent
134,24,Female,4.3,51.8,2,31.6,6.1,7.2,No,Low,3.7,Low
135,18,Male,4.5,75.0,11,32.5,1.9,5.0,Yes,Low,1.0,Medium
136,22,Female,6.5,60.2,19,90.9,2.5,4.5,Yes,Low,3.3,Excellent
137,21,Female,5.3,93.2,7,70.6,6.8,5.4,No,Low,3.8,High
138,23,Male,0.7,73.1,10,41.4,8.7,6.9,No,Low,2.2,Low
139,24,Male,1.6,73.9,14,72.1,10.3,5.7,No,Low,4.0,Medium
140,20,Female,6.0,81.4,12,55.9,10.5,9.9,No,High,3.9,High
141,16,Female,8.0,52.8,12,48.9,7.0,7.7,Yes,Medium,1.9,High
142,18,Female,7.7,56.4,13,86.8,4.2,6.0,No,Medium,5.0,Excellent
143,23,Male,7.5,74.9,8,63.4,7.4,8.4,Yes,Low,2.9,High
144,21,Female,7.8,98.3,2,50.5,7.9,5.3,No,Medium,2.5,High
145,23,Male,0.9,92.2,11,96.1,4.2,9.5,No,Medium,2.2,High
146,24,Female,9.0,94.5,8,41.6,8.3,6.9,Yes,Low,4.0,High
147,19,Female,8.9,56.9,11,39.9,2.9,7.1,Yes,Medium,1.3,High
148,16,Female,5.6,97.9,10,36.8,4.3,5.4,No,Medium,4.7,High
149,16,Female,2.9,86.5,18,38.7,11.2,4.1,No,Low,2.5,Medium
150,19,Female,6.1,66.3,8,47.7,6.6,9.9,Yes,Medium,4.8,High
151,22,Female,5.8,93.2,4,78.9,2.7,8.5,No,Medium,3.7,High
152,17,Female,2.6,87.4,9,77.0,8.4,8.7,No,Medium,3.3,Medium
153,18,Male,6.2,86.8,8,83.4,3.5,6.0,No,Medium,4.5,Excellent
154,16,Female,8.1,86.7,0,70.3,1.4,7.6,No,Medium,4.5,Excellent
155,20,Female,8.2,90.0,12,64.5,10.6,6.3,Yes,Medium,3.8,Excellent
156,16,Female,1.1,97.4,19,60.2,5.8,4.1,No,Medium,1.9,Medium
157,23,Female,2.4,56.8,11,91.2,9.6,8.8,Yes,Medium,1.3,Medium
158,16,Male,6.8,100.0,10,54.0,10.4,4.0,No,Low,3.8,High
159,16,Male,8.7,93.6,8,92.4,7.3,7.2,No,Medium,3.7,Excellent
160,17,Female,5.5,72.1,14,49.3,2.1,7.1,No,Low,4.5,High
161,17,Female,7.2,57.9,12,41.0,4.5,6.1,Yes,Low,3.7,High
162,21,Male,0.7,72.7,11,47.9,3.8,4.1,Yes,Medium,1.2,Medium
163,22,Male,6.3,88.9,13,64.9,7.6,7.8,No,Medium,3.9,High
164,20,Male,9.6,80.1,8,94.8,5.5,8.2,No,Medium,2.2,Excellent
165,16,Female,6.8,64.0,9,42.4,5.5,4.1,Yes,Low,1.3,Medium
166,16,Male,9.3,70.3,5,70.6,8.2,5.9,No,Low,4.9,Excellent
167,18,Male,5.9,97.7,18,45.2,1.4,7.2,No,High,4.9,Excellent
168,17,Female,8.5,90.2,9,77.4,2.5,9.8,No,Medium,4.9,Excellent
169,20,Female,1.7,56.2,14,62.6,10.8,7.3,Yes,Medium,1.8,Medium
170,21,Female,1.7,77.3,20,81.3,10.2,9.0,No,High,2.2,High
171,22,Male,1.6,96.5,7,89.9,11.4,6.6,Yes,High,4.9,High
172,19,Male,5.1,51.7,17,53.4,3.3,4.2,Yes,Low,3.6,High
173,22,Male,3.6,52.1,1,95.7,4.8,6.0,Yes,Medium,2.5,Medium
174,23,Male,7.3,85.8,3,62.8,2.2,6.6,Yes,Medium,3.4,High
175,16,Female,9.1,78.8,8,95.6,8.0,7.0,No,High,4.5,Excellent
176,21,Male,6.4,52.3,15,46.1,9.6,5.6,Yes,Medium,3.9,High
177,23,Female,2.5,99.8,4,92.8,7.8,6.6,No,High,2.2,Medium
178,20,Male,9.3,79.0,18,53.4,7.6,6.3,Yes,Medium,1.4,Excellent
179,19,Male,5.5,74.6,14,82.6,9.8,4.9,No,Low,3.5,High
180,17,Male,7.3,72.4,14,97.8,2.0,8.3,Yes,Medium,1.1,Excellent
181,21,Female,9.0,85.0,11,93.9,9.2,6.0,Yes,High,1.1,Excellent
182,21,Male,9.9,72.9,15,62.5,10.8,5.9,No,Low,2.8,Excellent
183,16,Female,5.3,83.0,10,54.1,8.1,4.5,No,High,3.9,High
184,24,Female,8.2,74.4,6,72.9,8.5,9.5,No,Low,2.4,High
185,21,Female,5.9,80.5,15,79.4,8.1,8.0,No,High,1.0,High
186,18,Female,5.1,90.3,9,67.8,10.1,8.5,Yes,Medium,4.9,High
187,19,Male,5.6,90.9,17,89.4,5.4,8.2,No,Medium,2.1,Excellent
188,19,Male,5.1,92.5,15,34.1,10.4,5.0,No,High,4.3,High
189,18,Female,4.5,60.1,0,72.0,4.0,4.8,Yes,Low,3.4,Medium
190,18,Female,7.4,53.1,4,66.8,2.3,9.7,No,Medium,2.7,High
191,18,Male,2.9,91.8,6,32.8,1.7,4.1,Yes,Medium,2.6,Medium
192,19,Male,6.4,52.1,17,30.9,2.1,9.3,Yes,Medium,4.1,High
193,22,Female,7.3,60.7,5,72.4,6.0,9.5,No,Medium,2.7,High
194,19,Male,9.0,76.3,16,38.3,7.5,7.3,Yes,Medium,3.5,High
195,24,Male,3.7,92.8,11,83.8,8.0,6.2,Yes,Low,3.6,High
196,16,Male,8.7,94.8,11,96.4,7.2,7.6,No,Low,2.6,Excellent
197,23,Female,9.5,81.4,0,42.4,3.3,7.3,Yes,Medium,1.3,High
198,22,Female,6.7,98.3,1,85.9,10.5,9.9,Yes,Medium,1.3,High
199,17,Female,7.8,86.5,20,71.4,3.3,6.1,No,High,4.4,Excellent
200,23,Female,4.4,76.4,17,61.4,10.1,7.6,Yes,High,1.8,High
201,16,Female,9.5,56.7,13,75.5,8.9,7.1,Yes,Medium,4.1,Excellent
202,24,Male,6.9,71.4,9,86.2,4.9,5.0,No,Medium,1.5,High
203,24,Male,3.4,91.1,13,97.9,5.6,9.2,No,High,4.8,Excellent
204,17,Male,4.3,64.2,2,76.2,10.0,5.2,No,Low,1.4,Medium
205,22,Female,6.4,78.9,20,82.3,11.8,7.6,No,Medium,1.0,High
206,18,Male,2.7,99.2,12,72.5,3.7,6.1,Yes,Medium,4.0,High
207,22,Female,7.7,58.7,18,69.6,8.6,9.1,No,Low,4.5,Excellent
208,24,Female,2.6,55.1,4,34.5,1.8,9.1,Yes,High,2.6,Low
209,19,Female,6.1,89.8,18,40.9,1.9,4.9,Yes,Low,1.1,High
210,16,Female,7.1,51.2,4,56.5,6.0,9.7,Yes,Low,4.4,High
211,17,Female,8.7,82.2,12,75.5,1.2,4.9,No,Medium,2.4,Excellent
212,16,Female,7.5,66.8,14,35.3,11.0,6.7,Yes,Medium,4.8,High
213,20,Male,8.1,86.2,5,68.1,5.2,8.2,No,Low,4.2,High
214,20,Female,9.2,56.0,11,30.9,5.2,6.4,No,Medium,3.3,High
215,22,Male,6.2,66.5,15,83.6,4.6,7.3,No,Low,3.8,Excellent
216,24,Female,8.5,50.9,17,76.7,4.3,10.0,Yes,High,3.5,Excellent
217,24,Male,2.7,61.8,14,66.4,2.0,5.5,Yes,High,3.9,High
218,18,Female,8.2,74.2,15,70.0,7.7,8.6,Yes,Medium,3.1,Excellent
219,18,Female,2.6,58.9,13,95.3,3.8,8.0,No,Medium,3.4,High
220,18,Male,9.4,80.0,15,93.5,4.8,9.7,Yes,High,2.9,Excellent
221,19,Female,3.6,55.9,2,85.5,4.7,4.6,Yes,Medium,2.5,Medium
222,23,Female,2.1,87.3,1,53.5,4.7,5.6,No,High,1.1,Medium
223,21,Male,1.9,96.1,9,37.5,10.7,8.6,No,Medium,1.4,Low
224,23,Male,2.3,69.3,13,52.5,6.2,8.9,No,High,1.4,Medium
225,16,Female,4.8,76.4,16,82.6,6.6,8.3,Yes,Low,2.9,High
226,23,Male,5.5,74.4,20,72.8,9.6,4.9,Yes,High,4.2,High
227,19,Male,9.2,89.3,20,79.4,4.4,6.0,No,Medium,3.8,Excellent
228,16,Female,4.1,99.7,16,37.4,9.4,5.3,Yes,Low,1.8,Medium
229,23,Male,2.6,86.8,17,41.1,3.0,8.6,No,Low,4.0,High
230,19,Female,7.6,60.7,2,76.5,8.8,9.4,No,Medium,4.5,High
231,21,Male,1.8,84.8,20,56.0,2.6,7.7,No,Medium,2.5,High
232,23,Female,9.0,80.8,14,55.8,8.6,4.9,No,High,3.5,Excellent
233,19,Female,4.4,60.5,11,57.5,6.2,9.2,No,Medium,3.3,Medium
234,18,Female,6.3,62.0,15,85.7,1.7,6.6,No,Medium,4.7,Excellent
235,24,Male,2.3,82.6,5,78.9,7.6,5.0,Yes,High,4.3,Medium
236,18,Female,1.9,90.4,13,37.4,8.6,7.7,Yes,High,1.4,Medium
237,24,Male,8.1,88.1,17,54.1,3.2,4.5,No,Medium,5.0,Excellent
238,17,Female,4.6,80.3,19,77.2,11.3,7.6,Yes,Medium,4.6,High
239,17,Female,9.9,96.9,2,98.3,3.5,9.8,No,High,1.3,Excellent
240,17,Female,5.5,86.6,16,93.9,4.4,7.6,No,Medium,4.9,Excellent
241,21,Male,8.5,77.1,19,47.4,9.1,9.1,Yes,Medium,1.2,High
242,18,Female,9.8,90.8,5,34.6,3.2,9.2,Yes,Low,4.2,High
243,24,Female,3.2,64.5,6,70.1,11.1,5.0,Yes,High,3.5,Medium
244,19,Male,8.1,63.2,5,58.4,8.1,8.0,Yes,Low,2.8,High
245,16,Female,0.7,98.6,11,42.8,9.2,7.2,Yes,Low,1.5,Medium
246,19,Female,7.0,97.5,16,75.6,2.3,4.3,Yes,Low,2.7,Excellent
247,16,Male,7.6,94.0,20,41.2,10.0,5.1,No,Low,2.2,High
248,20,Male,5.0,60.7,20,54.6,7.3,5.0,No,Medium,4.7,High
249,19,Male,2.0,79.4,5,85.6,9.5,7.7,No,Medium,2.9,Medium
250,23,Female,6.4,76.8,14,77.9,1.8,4.9,No,Medium,2.5,Excellent
251,23,Male,9.0,60.2,4,72.5,7.7,5.8,No,High,2.9,High
252,22,Female,9.3,72.4,14,95.2,8.6,4.6,Yes,Low,3.4,Excellent
253,18,Female,7.6,73.3,10,38.8,6.4,4.4,Yes,Low,4.1,High
254,16,Male,3.0,62.0,8,78.4,10.2,10.0,Yes,Medium,2.1,Medium
255,16,Male,8.8,97.7,3,38.2,11.3,6.4,No,Medium,2.1,High
256,18,Female,8.9,74.6,2,39.5,3.5,7.0,Yes,Low,4.7,High
257,21,Male,4.0,76.2,12,65.4,1.7,4.2,Yes,Medium,2.7,High
258,22,Male,2.2,79.9,5,31.7,9.5,5.0,Yes,Low,2.7,Low
259,21,Female,8.8,94.3,0,65.1,6.3,7.6,Yes,High,4.1,High
260,21,Male,8.9,76.7,9,30.7,1.6,6.4,Yes,High,2.0,High
261,21,Male,1.5,77.0,4,72.2,2.0,7.7,No,Medium,1.7,Medium
262,18,Male,9.7,62.0,1,51.8,3.5,5.9,Yes,Medium,4.3,High
263,21,Female,5.6,80.1,18,35.8,1.0,6.9,Yes,Low,2.7,High
264,23,Male,9.9,69.1,15,84.7,6.2,9.5,Yes,Medium,3.3,Excellent
265,17,Male,4.7,82.3,8,57.3,5.1,7.7,No,Low,1.3,Medium
266,20,Female,5.6,65.0,17,61.1,1.5,8.3,No,Medium,3.0,High
267,16,Female,3.0,85.8,16,56.2,3.7,9.6,Yes,Medium,2.3,High
268,16,Female,9.0,80.9,6,35.9,9.1,8.3,No,Medium,2.9,High
269,20,Female,4.7,73.7,20,62.2,9.9,7.9,Yes,Medium,3.6,High
270,18,Male,8.2,54.8,16,76.6,1.0,9.1,No,Medium,1.7,Excellent
271,19,Female,1.3,81.3,20,93.2,2.2,8.2,No,Medium,2.9,High
272,18,Female,8.0,93.0,19,83.5,12.0,7.6,No,Medium,4.3,Excellent
273,16,Male,5.2,58.6,0,35.6,8.1,5.4,No,Low,2.3,Low
274,16,Female,0.6,54.2,7,41.6,8.5,4.2,No,Low,1.6,Low
275,20,Female,2.6,52.0,19,33.1,5.2,6.5,Yes,Low,2.9,Medium
276,21,Male,2.3,51.6,9,38.4,6.5,8.9,No,High,1.3,Low
277,18,Female,7.6,92.1,5,63.6,6.6,7.1,Yes,Low,1.5,High
278,24,Female,5.0,86.4,8,45.4,4.8,4.5,Yes,Medium,1.8,Medium
279,20,Male,2.0,60.1,0,75.4,8.6,6.6,Yes,High,4.6,Medium
280,23,Male,2.9,95.9,9,32.3,7.3,7.6,No,High,3.7,Medium
281,16,Male,5.3,56.8,11,90.0,11.4,5.4,Yes,High,1.3,High
282,20,Male,0.7,68.7,10,77.4,1.1,4.5,No,Medium,2.1,Medium
283,18,Male,4.5,72.6,4,97.8,10.7,7.3,Yes,Medium,4.9,High
284,16,Male,6.9,53.8,18,96.7,11.4,4.5,No,Low,4.6,Excellent
285,19,Male,5.4,67.4,9,78.5,2.6,4.1,No,Low,1.1,High
286,20,Male,6.2,55.1,17,41.1,3.4,8.4,No,Low,2.2,High
287,22,Male,3.6,89.5,8,45.5,1.6,6.7,No,Medium,3.8,High
288,16,Male,2.2,52.3,2,49.4,3.6,4.2,No,Medium,2.9,Low
289,18,Male,8.2,50.9,3,59.9,8.0,7.6,No,Low,3.9,High
290,17,Male,9.1,86.6,20,70.0,3.4,4.1,No,Low,4.9,Excellent
291,24,Female,5.4,89.0,5,77.8,10.4,6.0,No,Medium,1.8,High
292,21,Male,3.4,74.8,1,35.3,11.1,5.0,Yes,Low,2.0,Low
293,18,Male,5.4,65.9,4,72.7,1.3,6.4,No,Medium,4.5,High
294,23,Male,8.9,61.8,19,34.1,6.6,4.1,Yes,Low,1.0,High
295,23,Male,7.1,55.9,12,87.9,1.2,9.8,No,Medium,2.8,Excellent
296,17,Male,8.7,74.2,0,32.8,7.8,4.9,No,Medium,2.2,Medium
297,21,Female,3.6,74.6,13,57.3,4.8,9.7,Yes,High,4.5,High
298,22,Female,7.3,72.8,19,59.4,10.3,7.0,Yes,Low,2.6,High
299,17,Female,6.7,88.9,10,69.9,11.1,4.4,No,Medium,2.9,High
300,17,Female,5.9,55.0,1,36.7,6.5,9.3,No,Medium,3.8,Medium
301,16,Male,5.5,83.5,14,95.3,11.5,6.5,No,Low,2.7,High
302,23,Female,5.7,70.1,6,56.8,10.5,4.9,No,Medium,2.2,Medium
303,16,Female,8.6,62.0,4,57.7,2.1,5.6,Yes,Medium,2.4,High
304,24,Male,9.2,84.1,11,47.0,4.9,5.8,Yes,Medium,4.5,Excellent
305,21,Female,1.6,59.9,16,84.7,4.7,7.7,No,Medium,2.4,Medium
306,22,Female,5.9,61.5,15,30.5,4.3,9.8,No,Medium,4.5,High
307,22,Male,9.2,99.9,16,37.4,9.8,5.1,Yes,Medium,1.8,High
308,18,Male,1.8,94.4,6,63.0,4.3,5.3,Yes,Low,4.9,Medium
309,17,Female,4.4,84.9,0,97.8,5.2,9.8,No,Medium,4.5,High
310,24,Male,1.3,65.8,1,32.5,1.9,5.3,No,Low,4.5,Low
311,23,Female,1.6,76.8,19,34.3,6.7,5.4,Yes,High,3.7,Medium
312,22,Male,9.1,56.3,4,80.0,2.3,9.9,Yes,High,3.3,High
313,24,Female,4.7,66.7,0,81.5,10.6,7.9,Yes,Medium,1.1,Medium
314,19,Female,7.0,53.4,12,92.8,9.8,5.8,No,Medium,2.4,High
315,19,Female,1.8,80.5,0,70.4,4.3,5.5,Yes,Medium,1.1,Medium
316,16,Male,0.7,92.9,18,58.2,1.1,6.9,Yes,Low,2.7,High
317,23,Male,9.0,90.5,0,61.6,1.8,5.9,Yes,Medium,1.7,High
318,18,Female,6.0,92.8,2,60.2,3.4,4.1,Yes,Medium,1.6,High
319,22,Male,0.7,58.7,4,98.1,6.5,4.4,No,Low,4.2,Medium
320,17,Male,9.9,82.5,18,56.6,9.0,7.2,Yes,Medium,2.3,Excellent
321,17,Female,5.2,97.8,11,36.7,2.1,5.6,No,Medium,2.7,High
322,22,Male,5.0,89.2,7,50.3,8.8,9.7,No,Low,4.8,High
323,21,Male,6.4,50.2,4,97.2,7.0,8.2,No,Medium,1.7,High
324,18,Female,0.6,94.1,14,60.0,7.8,9.9,Yes,Low,3.2,Medium
